;brouette;;;;;;;Cibles non appariées - Cible 1;;;;Cibles non appariées - Cible 2;;;;Cibles non appariées - Cible 3;;;;Cibles non appariées - Cible 4;;;
;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;Detected;TX;TY;TZ;Detected;TX;TY;TZ;Detected;TX;TY;TZ;Detected
0,000000;0;0;0;0;0;0;0;-210,742950;244,311844;2276,017334;1;-228,954025;245,040115;2286,277588;1;-199,695465;225,651672;2269,241455;1;-230,989319;215,754913;2286,539307;1
0,035000;0;0;0;0;0;0;0;-230,993134;215,758957;2286,560547;1;-210,735199;244,303802;2275,985352;1;-228,960144;245,039490;2286,251709;1;-199,689377;225,653534;2269,270508;1
0,069000;-219,888138;228,812378;2280,705811;-0,254079;29,375719;-5,990922;1;-210,740875;244,314102;2276,008301;1;0;0;0;0;0;0;0;0;0;0;0;0
0,137000;-219,883011;228,822098;2280,721924;-0,213431;29,362335;-5,976314;1;-210,750702;244,315811;2276,007813;1;0;0;0;0;0;0;0;0;0;0;0;0
0,172000;-219,882126;228,816193;2280,694092;-0,330301;29,320923;-6,010015;1;-210,743301;244,319656;2276,044434;1;0;0;0;0;0;0;0;0;0;0;0;0
0,207000;-219,884460;228,819839;2280,711182;-0,327363;29,349882;-6,008807;1;-210,741623;244,311188;2275,990234;1;0;0;0;0;0;0;0;0;0;0;0;0
0,241000;-219,882477;228,820404;2280,684570;-0,200292;29,353613;-5,980410;1;-210,741898;244,313248;2275,997559;1;0;0;0;0;0;0;0;0;0;0;0;0
0,276000;-219,886108;228,823227;2280,722900;-0,268912;29,323523;-5,990901;1;-210,743561;244,312088;2276,021484;1;0;0;0;0;0;0;0;0;0;0;0;0
0,310000;-219,881149;228,818085;2280,705566;-0,256667;29,363575;-6,000890;1;-210,751816;244,305923;2275,988037;1;0;0;0;0;0;0;0;0;0;0;0;0
0,345000;-219,882813;228,817200;2280,705811;-0,222951;29,347380;-5,981008;1;-210,738998;244,313812;2276,016602;1;0;0;0;0;0;0;0;0;0;0;0;0
0,379000;-219,882523;228,817871;2280,708008;-0,251862;29,368328;-5,986277;1;-210,741058;244,307526;2275,981201;1;0;0;0;0;0;0;0;0;0;0;0;0
0,414000;-219,884445;228,820404;2280,715088;-0,265595;29,392138;-5,992677;1;-210,737167;244,314011;2276,007568;1;0;0;0;0;0;0;0;0;0;0;0;0
0,448000;-219,874649;228,815567;2280,686523;-0,233381;29,417656;-5,985353;1;-210,746384;244,305588;2276,024658;1;0;0;0;0;0;0;0;0;0;0;0;0
0,483000;-219,886002;228,819305;2280,725098;-0,183165;29,394413;-5,963418;1;-210,737564;244,317245;2276,024902;1;0;0;0;0;0;0;0;0;0;0;0;0
0,517000;-219,880066;228,825394;2280,715820;-0,281595;29,404839;-6,006373;1;-210,748444;244,320190;2276,018066;1;0;0;0;0;0;0;0;0;0;0;0;0
0,552000;-219,886261;228,820206;2280,728027;-0,304227;29,404203;-5,995426;1;-210,740540;244,313828;2275,982178;1;0;0;0;0;0;0;0;0;0;0;0;0
0,586000;-219,883224;228,821365;2280,709229;-0,203715;29,373413;-5,978436;1;-210,739227;244,300919;2275,987793;1;0;0;0;0;0;0;0;0;0;0;0;0
0,621000;-219,877548;228,815506;2280,692383;-0,191502;29,376514;-5,963031;1;-210,741104;244,306351;2275,986816;1;0;0;0;0;0;0;0;0;0;0;0;0
0,655000;-219,881454;228,817474;2280,703613;-0,238081;29,368614;-5,989542;1;-210,746109;244,311371;2275,992676;1;0;0;0;0;0;0;0;0;0;0;0;0
0,690000;-219,882904;228,817856;2280,692383;-0,269433;29,353571;-5,992816;1;-210,737534;244,314789;2276,016602;1;0;0;0;0;0;0;0;0;0;0;0;0
0,724000;-219,881454;228,817917;2280,688232;-0,101488;29,354607;-5,938449;1;-210,741669;244,313400;2276,008057;1;0;0;0;0;0;0;0;0;0;0;0;0
0,759000;-219,884811;228,815750;2280,713379;-0,233414;29,330004;-5,967741;1;-210,731781;244,311661;2275,983154;1;0;0;0;0;0;0;0;0;0;0;0;0
0,793000;-219,884460;228,818512;2280,703857;-0,215592;29,314837;-5,989380;1;-210,743866;244,304260;2276,010010;1;0;0;0;0;0;0;0;0;0;0;0;0
0,828000;-219,877197;228,813873;2280,683350;-0,336107;29,365303;-6,007849;1;-210,738953;244,307358;2275,977295;1;0;0;0;0;0;0;0;0;0;0;0;0
0,862000;-219,882355;228,816299;2280,694092;-0,270500;29,383265;-5,995926;1;-210,745438;244,309952;2276,002197;1;0;0;0;0;0;0;0;0;0;0;0;0
0,897000;-219,878677;228,814987;2280,682617;-0,263003;29,373884;-5,992473;1;-210,738297;244,308823;2276,004395;1;0;0;0;0;0;0;0;0;0;0;0;0
0,931000;-219,883270;228,816284;2280,700928;-0,308822;29,304186;-5,996103;1;-210,742493;244,310257;2276,004150;1;0;0;0;0;0;0;0;0;0;0;0;0
0,966000;-219,880722;228,816925;2280,704590;-0,273746;29,389671;-5,991155;1;-210,739059;244,302902;2276,006592;1;0;0;0;0;0;0;0;0;0;0;0;0
1,000000;-219,882660;228,816849;2280,702881;-0,282980;29,309700;-5,985770;1;-210,739029;244,311249;2275,984375;1;0;0;0;0;0;0;0;0;0;0;0;0
1,034000;-219,880447;228,819992;2280,695313;-0,287670;29,389883;-5,992325;1;-210,741653;244,308594;2275,988281;1;0;0;0;0;0;0;0;0;0;0;0;0
1,069000;-219,879364;228,820297;2280,708496;-0,245369;29,361307;-5,990282;1;-210,738235;244,300079;2275,976807;1;0;0;0;0;0;0;0;0;0;0;0;0
1,103000;-219,880264;228,819534;2280,712646;-0,263364;29,379055;-5,998991;1;-210,745148;244,309830;2276,022217;1;0;0;0;0;0;0;0;0;0;0;0;0
1,138000;-219,881348;228,817154;2280,701660;-0,342374;29,361584;-6,017213;1;-210,736465;244,309128;2275,994385;1;0;0;0;0;0;0;0;0;0;0;0;0
1,172000;-219,881638;228,816589;2280,690918;-0,237259;29,328413;-5,991884;1;-210,745407;244,315323;2276,029297;1;0;0;0;0;0;0;0;0;0;0;0;0
1,207000;-219,882385;228,815430;2280,700195;-0,241944;29,349686;-5,981897;1;-210,735779;244,315186;2276,004639;1;0;0;0;0;0;0;0;0;0;0;0;0
1,241000;-219,881897;228,813461;2280,710205;-0,212553;29,377365;-5,973480;1;-210,733841;244,306442;2275,995361;1;0;0;0;0;0;0;0;0;0;0;0;0
1,276000;-219,886093;228,817383;2280,720947;-0,246173;29,374338;-5,997266;1;-210,738144;244,302109;2275,969971;1;0;0;0;0;0;0;0;0;0;0;0;0
1,310000;-219,883484;228,819641;2280,703369;-0,274476;29,373075;-5,996591;1;-210,736847;244,315506;2275,983154;1;0;0;0;0;0;0;0;0;0;0;0;0
1,345000;-219,876831;228,812988;2280,681152;-0,300822;29,387428;-6,006212;1;-210,733856;244,311203;2275,961670;1;0;0;0;0;0;0;0;0;0;0;0;0
1,379000;-219,878738;228,816513;2280,710449;-0,233770;29,336748;-5,980996;1;-210,745895;244,305069;2275,997803;1;0;0;0;0;0;0;0;0;0;0;0;0
1,414000;-219,879303;228,818115;2280,710205;-0,207946;29,349146;-5,966833;1;-210,735825;244,307602;2275,954590;1;0;0;0;0;0;0;0;0;0;0;0;0
1,448000;-219,879395;228,819672;2280,708008;-0,261810;29,327387;-5,993782;1;-210,740387;244,307983;2275,994873;1;0;0;0;0;0;0;0;0;0;0;0;0
1,483000;-219,876419;228,817429;2280,684326;-0,222335;29,352444;-5,984717;1;-210,740417;244,312302;2275,979492;1;0;0;0;0;0;0;0;0;0;0;0;0
1,517000;-219,883820;228,818756;2280,706055;-0,289152;29,360149;-6,001649;1;-210,741882;244,307602;2276,008057;1;0;0;0;0;0;0;0;0;0;0;0;0
1,552000;-219,880600;228,818375;2280,706787;-0,342348;29,384016;-5,999790;1;-210,743469;244,308289;2275,989746;1;0;0;0;0;0;0;0;0;0;0;0;0
1,586000;-219,882172;228,820099;2280,702637;-0,261818;29,395969;-5,991818;1;-210,733963;244,307831;2276,001953;1;0;0;0;0;0;0;0;0;0;0;0;0
1,621000;-219,885986;228,821335;2280,702393;-0,270779;29,355211;-5,995130;1;-210,735596;244,312469;2276,023926;1;0;0;0;0;0;0;0;0;0;0;0;0
1,655000;-219,879517;228,816010;2280,702881;-0,308527;29,407980;-6,002473;1;-210,746902;244,307297;2276,014648;1;0;0;0;0;0;0;0;0;0;0;0;0
1,690000;-219,883011;228,821457;2280,709717;-0,169522;29,320753;-5,974775;1;-210,741394;244,303986;2276,005371;1;0;0;0;0;0;0;0;0;0;0;0;0
1,724000;-219,884354;228,818802;2280,712158;-0,327270;29,306955;-6,002990;1;-210,739349;244,309845;2276,005371;1;0;0;0;0;0;0;0;0;0;0;0;0
1,759000;-219,878036;228,817001;2280,702148;-0,172134;29,334528;-5,965583;1;-210,740280;244,313278;2276,002197;1;0;0;0;0;0;0;0;0;0;0;0;0
1,793000;-219,882690;228,815659;2280,703857;-0,273841;29,361364;-5,986787;1;-210,735947;244,312500;2275,995605;1;0;0;0;0;0;0;0;0;0;0;0;0
1,828000;-219,880066;228,819061;2280,694580;-0,344584;29,422638;-6,030545;1;-210,742645;244,310135;2275,960205;1;0;0;0;0;0;0;0;0;0;0;0;0
1,862000;-219,890808;228,819916;2280,732910;-0,261814;29,380192;-5,986867;1;-210,743484;244,295944;2275,992676;1;0;0;0;0;0;0;0;0;0;0;0;0
1,897000;-219,887054;228,815796;2280,702637;-0,254925;29,365046;-5,995730;1;-210,743423;244,309479;2275,988037;1;0;0;0;0;0;0;0;0;0;0;0;0
1,931000;-219,884842;228,818497;2280,703857;-0,294045;29,296806;-5,989433;1;-210,739334;244,306442;2275,968018;1;0;0;0;0;0;0;0;0;0;0;0;0
1,966000;-219,882462;228,815948;2280,683105;-0,291618;29,332216;-6,003215;1;-210,745010;244,300385;2275,999756;1;0;0;0;0;0;0;0;0;0;0;0;0
2,000000;-219,879959;228,815201;2280,685547;-0,277371;29,377285;-5,993757;1;-210,744278;244,311508;2276,008057;1;0;0;0;0;0;0;0;0;0;0;0;0
2,034000;-219,878265;228,817825;2280,696045;-0,274590;29,421207;-5,995945;1;-210,737457;244,303955;2275,980469;1;0;0;0;0;0;0;0;0;0;0;0;0
2,069000;-219,883835;228,818970;2280,719238;-0,220777;29,412437;-5,974958;1;-210,738632;244,314758;2275,980469;1;0;0;0;0;0;0;0;0;0;0;0;0
2,103000;-219,884659;228,819687;2280,706055;-0,308811;29,344156;-5,999074;1;-210,740921;244,313721;2275,997070;1;0;0;0;0;0;0;0;0;0;0;0;0
2,138000;-219,881561;228,811035;2280,692627;-0,304452;29,354919;-6,009311;1;-210,741287;244,310410;2275,981934;1;0;0;0;0;0;0;0;0;0;0;0;0
2,172000;-219,876266;228,813385;2280,689697;-0,253597;29,354200;-5,987867;1;-210,728897;244,311569;2276,006592;1;0;0;0;0;0;0;0;0;0;0;0;0
2,207000;-219,880707;228,816315;2280,697266;-0,264205;29,356712;-5,997471;1;-210,735184;244,308640;2275,963623;1;0;0;0;0;0;0;0;0;0;0;0;0
2,241000;-219,882584;228,810577;2280,699707;-0,149663;29,331694;-5,956997;1;-210,739685;244,307892;2275,981445;1;0;0;0;0;0;0;0;0;0;0;0;0
2,276000;-219,882156;228,819962;2280,717529;-0,224377;29,393576;-5,991360;1;-210,736221;244,304199;2275,971436;1;0;0;0;0;0;0;0;0;0;0;0;0
2,310000;-219,883545;228,819168;2280,714600;-0,277897;29,337889;-5,988358;1;-210,740356;244,313324;2275,995117;1;0;0;0;0;0;0;0;0;0;0;0;0
2,345000;-219,881851;228,818726;2280,697998;-0,251391;29,348070;-5,989193;1;-210,745071;244,307098;2275,997070;1;0;0;0;0;0;0;0;0;0;0;0;0
2,379000;-219,882767;228,817017;2280,704834;-0,258197;29,377821;-5,993981;1;-210,740952;244,313110;2275,971924;1;0;0;0;0;0;0;0;0;0;0;0;0
2,414000;-219,879807;228,821014;2280,701660;-0,245727;29,359585;-5,995041;1;-210,733109;244,308060;2275,973389;1;0;0;0;0;0;0;0;0;0;0;0;0
2,448000;-219,884720;228,816757;2280,707520;-0,276054;29,350750;-5,995578;1;-210,737671;244,311157;2275,998779;1;0;0;0;0;0;0;0;0;0;0;0;0
2,483000;-219,874939;228,816864;2280,696777;-0,288923;29,341461;-6,000090;1;-210,742294;244,305435;2275,980957;1;0;0;0;0;0;0;0;0;0;0;0;0
2,517000;-219,879456;228,814819;2280,684082;-0,248144;29,365671;-5,979369;1;-210,739532;244,318161;2276,011230;1;0;0;0;0;0;0;0;0;0;0;0;0
2,552000;-219,880249;228,821747;2280,709961;-0,193869;29,367266;-5,966922;1;-210,736481;244,308456;2275,973389;1;0;0;0;0;0;0;0;0;0;0;0;0
2,586000;-219,886536;228,818787;2280,704346;-0,264128;29,358158;-6,000987;1;-210,743851;244,311722;2276,004883;1;0;0;0;0;0;0;0;0;0;0;0;0
2,621000;-219,883621;228,822464;2280,705078;-0,292694;29,361279;-5,994833;1;-210,744095;244,307388;2275,964111;1;0;0;0;0;0;0;0;0;0;0;0;0
2,655000;-219,880463;228,824219;2280,697266;-0,251124;29,348969;-5,985725;1;-210,747391;244,306549;2275,998291;1;0;0;0;0;0;0;0;0;0;0;0;0
2,690000;-219,880829;228,816254;2280,698486;-0,319430;29,364216;-5,987113;1;-210,741379;244,302948;2276,004395;1;0;0;0;0;0;0;0;0;0;0;0;0
2,724000;-219,884140;228,813614;2280,693359;-0,263354;29,388187;-5,984302;1;-210,740875;244,308685;2275,995605;1;0;0;0;0;0;0;0;0;0;0;0;0
2,759000;-219,883636;228,816391;2280,697754;-0,270821;29,357363;-5,979738;1;-210,736435;244,303757;2275,992188;1;0;0;0;0;0;0;0;0;0;0;0;0
2,793000;-219,882858;228,819305;2280,702637;-0,264228;29,358042;-5,991342;1;-210,742950;244,319016;2276,011719;1;0;0;0;0;0;0;0;0;0;0;0;0
2,828000;-219,879150;228,819275;2280,712646;-0,269090;29,354883;-5,992603;1;-210,740402;244,310654;2276,008301;1;0;0;0;0;0;0;0;0;0;0;0;0
2,862000;-219,880234;228,814926;2280,706055;-0,256466;29,352943;-5,989172;1;-210,742661;244,308884;2276,010986;1;0;0;0;0;0;0;0;0;0;0;0;0
2,897000;-219,882141;228,818085;2280,689941;-0,253339;29,355446;-5,983665;1;-210,736877;244,301163;2275,986572;1;0;0;0;0;0;0;0;0;0;0;0;0
2,931000;-219,885666;228,817276;2280,718750;-0,208303;29,353502;-5,967677;1;-210,733353;244,303757;2275,952148;1;0;0;0;0;0;0;0;0;0;0;0;0
2,966000;-219,884430;228,813660;2280,697510;-0,164614;29,344309;-5,965049;1;-210,743240;244,309174;2276,008301;1;0;0;0;0;0;0;0;0;0;0;0;0
3,000000;-219,881531;228,818466;2280,719238;-0,202740;29,387182;-5,970838;1;-210,738754;244,313309;2276,009521;1;0;0;0;0;0;0;0;0;0;0;0;0
3,034000;-219,878204;228,814087;2280,708008;-0,238321;29,358974;-5,987279;1;-210,742172;244,305649;2276,005859;1;0;0;0;0;0;0;0;0;0;0;0;0
3,069000;-219,884491;228,814972;2280,700195;-0,333625;29,413055;-6,017681;1;-210,737518;244,300552;2275,953613;1;0;0;0;0;0;0;0;0;0;0;0;0
3,103000;-219,883255;228,815247;2280,706787;-0,236349;29,358128;-5,985791;1;-210,737671;244,311920;2276,005127;1;0;0;0;0;0;0;0;0;0;0;0;0
3,138000;-219,885941;228,815125;2280,699707;-0,288861;29,354883;-6,004161;1;-210,737213;244,308380;2276,016602;1;0;0;0;0;0;0;0;0;0;0;0;0
3,172000;-219,878983;228,814255;2280,689453;-0,228098;29,359783;-5,982758;1;-210,743591;244,313339;2275,993652;1;0;0;0;0;0;0;0;0;0;0;0;0
3,207000;-219,881989;228,817581;2280,700195;-0,222035;29,424120;-5,986079;1;-210,742599;244,316284;2275,989990;1;0;0;0;0;0;0;0;0;0;0;0;0
3,241000;-219,876816;228,816818;2280,681885;-0,289498;29,321783;-5,990060;1;-210,739151;244,306259;2275,990479;1;0;0;0;0;0;0;0;0;0;0;0;0
3,276000;-219,881195;228,810944;2280,685059;-0,285275;29,365128;-6,004949;1;-210,741547;244,304718;2275,998535;1;0;0;0;0;0;0;0;0;0;0;0;0
3,310000;-219,882538;228,820206;2280,706787;-0,239222;29,378109;-5,990834;1;-210,734009;244,305511;2275,956787;1;0;0;0;0;0;0;0;0;0;0;0;0
3,345000;-219,878876;228,818008;2280,692383;-0,220646;29,377655;-5,977302;1;-210,738647;244,307083;2275,973145;1;0;0;0;0;0;0;0;0;0;0;0;0
3,379000;-219,881668;228,814728;2280,696289;-0,334654;29,320080;-6,002460;1;-210,738998;244,313599;2275,975342;1;0;0;0;0;0;0;0;0;0;0;0;0
3,414000;-219,882736;228,817245;2280,703857;-0,232833;29,353579;-5,993522;1;-210,737640;244,309296;2276,014893;1;0;0;0;0;0;0;0;0;0;0;0;0
3,448000;-219,883347;228,818390;2280,702393;-0,271412;29,333416;-5,980723;1;-210,737244;244,304840;2275,992676;1;0;0;0;0;0;0;0;0;0;0;0;0
3,483000;-219,880981;228,819809;2280,712158;-0,410932;29,395905;-6,027386;1;-210,745468;244,306290;2275,959717;1;0;0;0;0;0;0;0;0;0;0;0;0
3,517000;-219,885498;228,820450;2280,721436;-0,283701;29,419567;-6,000413;1;-210,742508;244,306412;2276,022461;1;0;0;0;0;0;0;0;0;0;0;0;0
3,552000;-219,882355;228,816559;2280,693848;-0,305633;29,404682;-6,005615;1;-210,743896;244,317337;2276,014893;1;0;0;0;0;0;0;0;0;0;0;0;0
3,586000;-219,881180;228,820007;2280,717041;-0,293568;29,359890;-5,994723;1;-210,733337;244,310654;2276,000488;1;0;0;0;0;0;0;0;0;0;0;0;0
3,621000;-219,883896;228,818741;2280,726318;-0,268819;29,379711;-6,001559;1;-210,740143;244,308182;2276,005127;1;0;0;0;0;0;0;0;0;0;0;0;0
3,655000;-219,882721;228,820557;2280,708984;-0,255499;29,324720;-5,984217;1;-210,740402;244,309067;2275,991699;1;0;0;0;0;0;0;0;0;0;0;0;0
3,690000;-219,882095;228,817352;2280,695801;-0,295870;29,404278;-6,002787;1;-210,742325;244,319763;2276,008057;1;0;0;0;0;0;0;0;0;0;0;0;0
3,724000;-219,881073;228,814331;2280,690430;-0,209353;29,393654;-5,968688;1;-210,743515;244,302475;2275,977295;1;0;0;0;0;0;0;0;0;0;0;0;0
3,759000;-219,883240;228,816025;2280,704102;-0,256064;29,314400;-5,992470;1;-210,741196;244,306610;2275,998779;1;0;0;0;0;0;0;0;0;0;0;0;0
3,793000;-219,883591;228,823090;2280,726318;-0,374098;29,403196;-6,015110;1;-210,744171;244,314331;2275,970947;1;0;0;0;0;0;0;0;0;0;0;0;0
3,828000;-219,884155;228,810928;2280,689697;-0,200783;29,333403;-5,970593;1;-210,737793;244,315323;2276,004395;1;0;0;0;0;0;0;0;0;0;0;0;0
3,862000;-219,882431;228,821274;2280,708008;-0,225626;29,342987;-5,979492;1;-210,746613;244,312225;2276,008301;1;0;0;0;0;0;0;0;0;0;0;0;0
3,897000;-219,883850;228,821182;2280,719727;-0,247775;29,392349;-5,988972;1;-210,738174;244,309280;2275,964111;1;0;0;0;0;0;0;0;0;0;0;0;0
3,931000;-219,882690;228,821533;2280,711426;-0,266448;29,426918;-5,995724;1;-210,741257;244,307419;2276,001221;1;0;0;0;0;0;0;0;0;0;0;0;0
3,966000;-219,881104;228,809753;2280,686279;-0,273952;29,365763;-5,990710;1;-210,735107;244,309891;2275,961670;1;0;0;0;0;0;0;0;0;0;0;0;0
4,000000;-219,880066;228,817688;2280,698975;-0,237569;29,363939;-5,983921;1;-210,735489;244,305359;2275,963623;1;0;0;0;0;0;0;0;0;0;0;0;0
4,034000;-219,872314;228,820114;2280,672852;-0,270087;29,326591;-5,980649;1;-210,737335;244,316940;2276,037354;1;0;0;0;0;0;0;0;0;0;0;0;0
4,069000;-219,849533;228,842148;2280,701416;-0,310310;29,347099;-5,987838;1;-210,713043;244,331482;2275,993408;1;0;0;0;0;0;0;0;0;0;0;0;0
4,103000;-219,801437;228,931747;2280,701416;-0,258067;29,323635;-5,977010;1;-210,663223;244,432617;2276,023926;1;0;0;0;0;0;0;0;0;0;0;0;0
4,138000;-219,607361;229,077087;2280,769531;-0,284424;29,422844;-6,004156;1;-210,472458;244,576981;2276,054443;1;0;0;0;0;0;0;0;0;0;0;0;0
4,172000;-219,391251;229,065674;2281,073242;-0,248965;29,380857;-5,995568;1;-210,253998;244,563904;2276,362305;1;0;0;0;0;0;0;0;0;0;0;0;0
4,207000;-219,108093;228,982727;2281,711426;-0,315247;29,331947;-6,009481;1;-209,964523;244,466919;2276,971436;1;0;0;0;0;0;0;0;0;0;0;0;0
4,241000;-218,843628;228,899384;2282,335938;-0,243009;29,360186;-5,997057;1;-209,698135;244,392014;2277,597412;1;0;0;0;0;0;0;0;0;0;0;0;0
4,276000;-218,430420;228,893021;2282,696777;-0,229863;29,424482;-5,991706;1;-209,300232;244,387253;2277,976563;1;0;0;0;0;0;0;0;0;0;0;0;0
4,310000;-218,101852;228,837631;2283,121338;-0,203364;29,320011;-5,981080;1;-208,969635;244,321198;2278,408447;1;0;0;0;0;0;0;0;0;0;0;0;0
4,345000;-217,788132;228,772064;2283,736084;-0,273948;29,312798;-5,998601;1;-208,654388;244,267807;2279,023926;1;0;0;0;0;0;0;0;0;0;0;0;0
4,379000;-217,447220;228,793472;2284,378906;-0,183325;29,378399;-5,980980;1;-208,302811;244,276596;2279,661377;1;0;0;0;0;0;0;0;0;0;0;0;0
4,414000;-217,155289;228,752029;2284,907227;-0,296099;29,410194;-6,011388;1;-208,013885;244,240341;2280,200928;1;0;0;0;0;0;0;0;0;0;0;0;0
4,448000;-216,770889;228,730850;2285,304932;-0,253499;29,431555;-6,004146;1;-207,641953;244,227203;2280,632568;1;0;0;0;0;0;0;0;0;0;0;0;0
4,483000;-216,428467;228,701385;2285,823730;-0,295370;29,401075;-6,018975;1;-207,290222;244,200790;2281,155762;1;0;0;0;0;0;0;0;0;0;0;0;0
4,517000;-216,123199;228,655273;2286,399414;-0,377426;29,411850;-6,038771;1;-206,989639;244,147736;2281,668701;1;0;0;0;0;0;0;0;0;0;0;0;0
